time,measurement_value
2025-02-28T11:17:00Z,1740.0
2025-02-28T11:18:00Z,1926.0
2025-02-28T11:19:00Z,1941.0
2025-02-28T11:20:00Z,1978.0
2025-02-28T11:21:00Z,2199.0
2025-02-28T11:22:00Z,1877.0
2025-02-28T11:23:00Z,1944.0
2025-02-28T11:24:00Z,2434.0
2025-02-28T11:25:00Z,2243.0
2025-02-28T11:26:00Z,2384.0
2025-02-28T11:27:00Z,2428.0
2025-02-28T11:28:00Z,2298.0
2025-02-28T11:29:00Z,1855.0
2025-02-28T11:30:00Z,1792.0
2025-02-28T11:31:00Z,2102.0
2025-02-28T11:32:00Z,2089.0
2025-02-28T11:33:00Z,2150.0
2025-02-28T11:34:00Z,2051.0
2025-02-28T11:35:00Z,2121.0
2025-02-28T11:36:00Z,2445.0
2025-02-28T11:37:00Z,2336.0
2025-02-28T11:38:00Z,2614.0
2025-02-28T11:39:00Z,2325.0
2025-02-28T11:40:00Z,2177.0
2025-02-28T11:41:00Z,2084.0
2025-02-28T11:42:00Z,2048.0
2025-02-28T11:43:00Z,2226.0
2025-02-28T11:44:00Z,2093.0
2025-02-28T11:45:00Z,2004.0
2025-02-28T11:46:00Z,2237.0
2025-02-28T11:47:00Z,2589.0
2025-02-28T11:48:00Z,2378.0
2025-02-28T11:49:00Z,2337.0
